DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,Legs,DURATION,LANDINGS DAY,LANDINGS NIGHT,INSTRUMENT,SIMULATED INSTRUMENT,APPROACHES & TYPE,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,SECOND IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,Fuel (gal)
1996-10-29,PA28-151,N40857,BED ASH BED,1,0.8,,2,,,,0.8,,,,0.8,,,,,,
1996-11-01,PA28-151,N40857,BED BED,1,0.4,2,,,,,,,,,0.4,,,,,,
1996-11-02,PA28-151,N40857,BED WST,1,0.9,1,,,,,,,0.9,,0.9,,,,,,
1996-11-06,PA28-151,N40857,WST BED,1,0.8,1,,,,,,,0.8,,0.8,,,,,,
1996-11-10,PA28-151,N40857,BED AQW ASH 6B6 FIT BED,1,2.9,5,,,,,,,2.9,,2.9,,,,,,
1996-11-11,PA28-151,N40857,BED WST BED,1,1.8,2,,,,,,,1.8,,1.8,,,,,,
1996-11-12,PA28-151,N40857,BED FIT ASH BED,1,1.4,,3,,,,1.2,,,,1.4,,,,,,
1996-11-13,PA28-151,N40857,BED CON BED,1,2.5,,1,,2.2,4,2.5,,,,2.5,,,,,,
1996-11-16,PA28-151,N40857,BED ASH BHB,1,2.5,2,,,,,,,2.5,,2.5,,,,,,
1996-11-17,PA28-151,N40857,BHB BED,1,2,1,,,,,,,2,,2,,,,,,
1996-11-18,PA28-151,N40857,BED PVC BED ASH BED,1,2.2,1,3,,,,1.4,,2.2,,2.2,,,,,,
1996-11-23,PA28-151,N40857,BED MVY BED,1,2.1,1,3,,,,0.4,,2.1,,2.1,,,,,,
1996-11-24,PA28-151,N40857,BED 6B6 ASH BED,1,1.2,,6,,,,1.2,,,,1.2,,,,,,
1996-11-28,PA28-151,N40857,BED 6B6 ORE OB5 BED,1,1.9,6,,,,,,,1.9,,1.9,,,,,,
1996-11-29,PA28-151,N40857,BED WST BED,1,1.8,2,,,,,,,1.8,,1.8,,,,,,
1996-11-30,PA28-151,N40857,BED ASH 6B6 BED,1,1.5,7,,,,,,,,,1.5,,,,,,
1996-12-03,PA28-151,N40857,BED 6B6 BED,1,1,4,3,,,,1,,,,1,,,,,,
1996-12-05,PA28-151,N40857,BED BVY BED,1,1.5,,1,,1.3,3,1.5,,,,1.5,,,,,,
1996-12-10,PA28-151,N40857,BED BED,1,1.1,,12,,,,1.1,,,,1.1,,,,,,
1996-12-18,PA28-151,N40857,BED WST BED,1,2.6,,2,0.6,,2,0.5,,2.6,,2.6,,,,,,
1996-12-21,PA28-151,N40857,BED ACK PVC BED,1,2.7,2,1,,,,0.3,,2.7,,2.7,,,,,,
1996-12-28,PA28-151,N40857,BED WST BED,1,2.3,2,,0.1,1.6,2,,,2.3,,2.3,,,,,,
1996-12-29,PA28-151,N40857,BED EWB BED,1,1.4,1,,0.4,,,,,1.4,,1.4,,,,,,
1996-12-30,PA28-151,N40857,BED BED,1,0.8,,4,,,,0.8,,,,0.8,,,,,,
1997-01-01,PA28-151,N40857,BED LCI BED,1,1.9,1,1,,,,0.9,,1.9,,1.9,,,,,,
1997-01-04,PA28-151,N40857,BED WST BED,1,2,2,,0.1,,,,,2,,2,,,,,,
1997-01-09,PA28-151,N40857,BED 6B6 ASH BED,1,1.4,4,,,,,,,,,1.4,,,,,,
1997-01-11,PA28-151,N40857,BED PVC,1,0.7,1,,,,,,,0.7,,0.7,,,,,,
1997-01-12,PA28-151,N40857,PVC BED,1,1,1,,,,,,,1,,1,,,,,,
1997-01-13,PA28-151,N40857,BED 1B9 1B6 ORH BED,1,1.5,4,2,,,,1.3,,,,1.5,,,,,,
1997-01-18,PA28-151,N40857,BED 6B1 SFM 6B6 BED,1,1.9,4,,,,,,,1.9,,1.9,,,,,,
1997-01-19,PA28-151,N40857,BED WST,1,0.8,1,,,,,,,0.8,,0.8,,,,,,
1997-01-21,PA28-140,N4872T,WST BED,1,1,1,,,,,,,1,,1,,,,,,
1997-02-02,PA28-151,N40857,WST 0B8 6B6 EEN BED,1,3.1,2,3,,,,1.5,,3.1,,3.1,,,,,,
